一个	یک (حرف تعریف نامعین)	yī gè
使遵守	مطابق کردن؛ تطبیق کردن	shǐ zūn shǒu
遵照	مطابقت؛ تطابق	zūn zhào
适合	مطابقت؛ تطابق	shì hé
狼狈的	نفرین شده؛ لعنت شده	láng bèi de
使面对	روبرو شدن	shǐ miàn duì
对质	رویارویی	duì zhì
使混乱	گیج کردن؛ مختل کردن	shǐ hùn luàn
使狼狈	گیج کردن؛ مختل کردن	shǐ láng bèi
令人困惑的	ملتبس	lìng rén kùn huò de
混淆的	ملتبس	hùn xiáo de
混乱	سردرگمی	hùn luàn
混淆	سردرگمی	hùn xiáo
使凝结	منجمد	shǐ níng jié
冻结	منجمد	dòng jié
协调的	همخو؛ هم مشرب	xié tiáo de
先天的	ارثی؛ مادرزاد	xiān tiān de
拥挤	احتقان	yōng jǐ
充血	احتقان	chōng xuè
庆贺	تبریک گفتن	qìng hè
恭喜	تهنیت؛ تبریک	gōng xǐ
国会	کنگره؛ مجلس	guó huì
会议的	کنگره‌ای	huì yì de
议会的	کنگره‌ای	yì huì de
圆锥形的	کله قندی	yuán zhuī xíng de
圆锥的	کله قندی	yuán zhuī de
推测	حدس	tuī cè
猜想	حدس	cāi xiǎng
连接词	تلاقی؛ مقارنت	lián jiē cí
念咒文召唤	افسونکردن؛ جادو کردن	niàn zhòu wén zhào huàn
变戏法	افسونکردن؛ جادو کردن	biàn xì fǎ
连接的	متصل	lián jiē de
连贯的	متصل	lián guàn de
康涅狄格	کانکتیکت	kāng niè dí gé
关系	پیوند؛ اتصال	guān xi
易于连接的	آگینی؛ اتصالی	yì yú lián jiē de
连接物	آگینی؛ اتصالی	lián jiē wù
纵容	اغماض؛ غمض	zòng róng
克服	فتح کردن	kè fú
征服	فتح کردن	zhēng fú
征服者	غالب؛ فاتح	zhēng fú zhě
胜利者	غالب؛ فاتح	shèng lì zhě
战胜	تسخیر	zhàn shèng
良心	وجدان	liáng xīn
道德感	وجدان	dào dé gǎn
有责任心的	وجدانی؛ باوجدان	yǒu zé rèn xīn de
负责的	وجدانی؛ باوجدان	fù zé de
有意识的	بهوش؛ واقف	yǒu yì shí de
知觉的	بهوش؛ واقف	zhī jué de
知觉	آگاهی	zhī jué
征兵	سربازگیری	zhēng bīng
募兵	سربازگیری	mù bīng
连续的	متوالی	lián xù de
联贯的	متوالی	lián guàn de
合意	اجماع	hé yì
重要性	موجب؛ عاقبت	zhòng yào xìng
随后发生的事情	نتیجه بخش؛ بر آیند	suí hòu fā shēng de shì qing
作为结果的	پربرآیند؛ نتیجهای	zuò wéi jiē guǒ de
随之发生的	پربرآیند؛ نتیجهای	suí zhī fā shēng de
所以	در نتیجه	suǒ yǐ
保护	حفاظت	bǎo hù
保存	حفاظت	bǎo cún
保守的	مرتجع؛ محافظه کار	bǎo shǒu de
守旧的	مرتجع؛ محافظه کار	shǒu jiù de
蜜饯	حفاظت کردن	mì jiàn
果酱	حفاظت کردن	guǒ jiàng
思考	در نظر گرفتن	sī kǎo
相当的	قابل توجه	xiāng dāng de
可观的	قابل توجه	kě guān de
非常地	به میزان قابل توجهی	fēi cháng de
很	به میزان قابل توجهی	hěn
体贴的	محتاط؛ باملاحظه	tǐ tiē de
体谅的	محتاط؛ باملاحظه	tǐ liàng de
存在于	یکپارچهبودن؛ تشکیل دادن	cún zài yú
坚硬性	درجه غلظت	jiān yìng xìng
黏稠度	درجه غلظت	nián chóu dù
坚固	به طور مداوم	jiān gù
坚实	به طور مداوم	jiān shí
慰问	دلداری	wèi wèn
藉慰	پیشانه؛ میزفرمان	jí wèi
巩固	تحکیم کردن	gǒng gù
使联合	تحکیم کردن	shǐ lián hé
整理过的	مستحکم	zhěng lǐ guò de
巩固的	مستحکم	gǒng gù de
团结	تحکیم؛ تشیید	tuán jié
辅音	بیواکه؛ همخوان	fǔ yīn
合伙	کنسرسیوم	hé huǒ
阴谋	توطئه	yīn móu
坚定不移	استواری؛ ثبات	jiān dìng bù yí
持久不变	استواری؛ ثبات	chí jiǔ bù biàn
常数	ثابت؛ دایم	cháng shù
恒量	ثابت؛ دایم	héng liáng
不变地	دایم؛ دائما	bù biàn de
不断地	دایم؛ دائما	bù duàn de
恐怖	بهت وحیرت	kǒng bù
患便秘症的	یبس؛ مقوبض	huàn biàn mì zhèng de
便秘	یبوست	biàn mì
秘结	یبوست	mì jié
选民	حوزه انتخابیه	xuǎn mín
顾客	حوزه انتخابیه	gù kè
宪法	قانون اساسی	xiàn fǎ
宪法的	قانونی	xiàn fǎ de
立宪的	قانونی	lì xiàn de
收缩	تنگی؛ تنگ شدگی	shōu suō
构造	بر پا کردن	gòu zào
建造	بر پا کردن	jiàn zào
建设性的	سازنده	jiàn shè xìng de
构造上的	سازنده	gòu zào shǎng de
领事	کنسول	lǐng shì
执政官	کنسول	zhí zhèng guān
商讨	مشورت کردن	shāng tǎo
商量	مشورت کردن	shāng liang
征询意见者	مشاور	zhēng xún yì jiàn zhě
请教	مشاوره	qǐng jiào
咨询	مشاوره	zī xún
商议的	مشاوره؛ استشاره	shāng yì de
充满的	مورد مصرف	chōng mǎn de
对著迷的	مورد مصرف	duì zhù mí de
消费者	مصرف کننده؛ مسرف کننده	xiāo fèi zhě
用户	مصرف کننده؛ مسرف کننده	yòng hù
消费的	استهلاک؛ مصرف کننده	xiāo fèi de
使完美	بوصال رسیدن	shǐ wán měi
消费	مصرف	xiāo fèi
痨病	مصرف	láo bìng
联系	ارتباط؛ تماس	lián xì
交际	ارتباط؛ تماس	jiāo jì
触染	واگیر؛ هم گیری	chù rǎn
蔓延	واگیر؛ هم گیری	màn yán
触染性的	مسری؛ واگیردار	chù rǎn xìng de
会蔓延的	مسری؛ واگیردار	huì màn yán de
触染性	واگیری	chù rǎn xìng
容纳	حاوی بودن	róng nà
集装箱	ظرف؛ محفه	jí zhuāng xiāng
受污染的	فاسد؛ آلوده	shòu wū rǎn de
弄脏的	فاسد؛ آلوده	nòng zāng de
污染	آلودگی؛ آلایش	wū rǎn
污物	آلودگی؛ آلایش	wū wù
沉思	تامل کردن	chén sī
沉思的	معقول؛ تفکری	chén sī de
爱默想的	معقول؛ تفکری	ài mò xiǎng de
当代的	همزمان؛ معاصر	dāng dài de
同时代的人	همزمان؛ معاصر	tóng shí dài de rén
轻视	تحقیر	qīng shì
卑鄙的	استهزاء آمیز	bēi bǐ de
可轻蔑的	استهزاء آمیز	kě qīng miè de
轻蔑的	قابل تحقیر	qīng miè de
鄙视的	قابل تحقیر	bǐ shì de
奋斗	رقابت کردن	fèn dòu
斗争	رقابت کردن	dòu zhēng
参赛者	رقیب	cān sài zhě
争论者	رقیب	zhēng lùn zhě
内容	راضی	nèi róng
争辩	اختلاف	zhēng biàn
使人满意的事物	خرسندی	shǐ rén mǎn yì de shì wù
上下文	زمینه	shàng xià wén
大陆	قاره	dà lù
洲	قاره	zhōu
大陆的	بری؛ اقلیمی	dà lù de
洲的	بری؛ اقلیمی	zhōu de
持续不断的	مدام؛ مداوم	chí xù bù duàn de
继续的	مدام؛ مداوم	jì xù de
频繁地	به طور مستمر	pín fán de
继续	ادامه؛ دنباله	jì xù
续集	ادامه؛ دنباله	xù jí
延续	ادامه دادن	yán xù
连续性	پیوستگی؛ تسلسل	lián xù xìng
连续地	پیوسته؛ همچنان	lián xù de
轮廓	حدفاصل؛ محیط مرئی	lún kuò
违禁品	اجناس قاچاق	wéi jìn pǐn
走私	اجناس قاچاق	zǒu sī
婚约	پیمان؛ مقاطعه	hūn yuē
缔约的	پیمان کار	dì yuē de
承包的	پیمان کار	chéng bāo de
缩写式	گرفتگی؛ انقباض	suō xiě shì
立契约的人	پیمانکار	lì qì yuē de rén
承包商	پیمانکار	chéng bāo shāng
契约的	پیمانی؛ عهدی	qì yuē de
契约性的	پیمانی؛ عهدی	qì yuē xìng de
反驳	تناقض داشتن؛ خلاف گفتن	fǎn bó
与抵触	تناقض داشتن؛ خلاف گفتن	yú dǐ chù
矛盾	تناقض	máo dùn
反驳的	مغایر؛ نقیض	fǎn bó de
反对的	مغایر؛ نقیض	fǎn duì de
相反的	برعکس	xiāng fǎn de
矛盾的	برعکس	máo dùn de
差别	تباین؛ مباینت	chā bié
对比	تباین؛ مباینت	duì bǐ
有助于	هم بخشی کردن؛ همکاری و کمک کردن	yǒu zhù yú
捐助	هم بخشی کردن؛ همکاری و کمک کردن	juān zhù
贡献	کمک؛ اعانه	gòng xiàn
贡献者	مشارکت‌کننده	gòng xiàn zhě
发明	تمهید	fā míng
想出的办法	تمهید	xiǎng chū de bàn fǎ
控制器	ممیز؛ بازبین	kòng zhì qì
管理者	ممیز؛ بازبین	guǎn lǐ zhě
争论的	بحث‌برانگیز	zhēng lùn de
论争的	بحث‌برانگیز	lùn zhēng de
论争	مناقشه	lùn zhēng
辩论	مناقشه	biàn lùn
恢复健康的	بهگرا	huī fù jiàn kāng de
恢复期的	بهگرا	huī fù qī de
召集	هم آیش کردن؛ دورهم جمع شدن	zhào jí
方便	راحتی	fāng biàn
便利的事物	راحتی	biàn lì de shì wù
方便的	بی دغدغه	fāng biàn de
合宜的	بی دغدغه	hé yí de
合宜	مصلحه؛ به راحتی	hé yí
女修道会	دیر؛ صومعه	nǚ xiū dào huì
大会	کنوانسیون	dà huì
协定	کنوانسیون	xié dìng
传统的	متعارف	chuán tǒng de
习惯的	متعارف	xí guàn de
聚合	متقارب شدن؛ همگرا بودن	jù hé
集中于一点	متقارب شدن؛ همگرا بودن	jí zhōng yú yī diǎn
会话	مکالمه	huì huà
说话	مکالمه	shuō huà
会话的	مکالمهای؛ گفتگوئی	huì huà de
对话的	مکالمهای؛ گفتگوئی	duì huà de
相反的事物	محاوره کردن	xiāng fǎn de shì wù
倒	محاوره کردن	dǎo
相反	بالعکس	xiāng fǎn
逆	بالعکس	nì
转变	تبدیل	zhuǎn biàn
转换	تبدیل	zhuǎn huàn
皈依者	نقد کردن	guī yī zhě
改变宗教信仰者	نقد کردن	gǎi biàn zōng jiào xìn yǎng zhě
可改变的	قابل تسعیر	kě gǎi biàn de
可交换的	قابل تسعیر	kě jiāo huàn de
中凸的	محدب؛ محذب	zhōng tū de
凸圆的	محدب؛ محذب	tū yuán de
运输	منتقل کردن	yùn shū
财产转让	سند انتقال؛ وسیله نقلیه	cái chǎn zhuǎn ràng
囚犯	محکوم کردن	qiú fàn
罪犯	محکوم کردن	zuì fàn
定罪	محکومیت	dìng zuì
信服	محکومیت	xìn fú
使相信	متقاعد کردن؛ قانع کردن	shǐ xiāng xìn
使人信服的	متقاعد کننده	shǐ rén xìn fú de
有力的	متقاعد کننده	yǒu lì de
盘绕的	بهم تابیده	pán rào de
回旋的	بهم تابیده	huí xuán de
护送	کاروان	hù sòng
震动	تشنج؛ اختلاج	zhèn dòng
震撼	تشنج؛ اختلاج	zhèn hàn
摇撼的	متشنج؛ تشنجی	yáo hàn de
抽搐的	متشنج؛ تشنجی	chōu chù de
厨子	آشپز؛ آشپزی کردن	chú zi
炊事用具	اجاق گاز	chuī shì yòng jù
炉灶	اجاق گاز	lú zào
烹饪	آشپزی	pēng rèn
熬炼	آشپزی	āo liàn
凉爽	خنک، باحال	liáng shuǎng
冷却	خنک کننده؛ خنک سازی	lěng què
冷	خنکی؛ خون سردی	lěng
协力	همکاری کردن	xié lì
合作的	تعاونی	hé zuò de
合作社的	تعاونی	hé zuò shè de
同等的人	هماهنگ کردن	tóng děng de rén
坐标	هماهنگ کردن	zuò biāo
同等	هماهنگی	tóng děng
协调	هماهنگی	xié tiáo
协调者	هماهنگ‌کننده	xié tiáo zhě
同等的人或物	هماهنگ‌کننده	tóng děng de rén huò wù
警官	پلیس	jǐng guān
抓住	پلیس	zhuā zhù
应付	کنار آمدن	yìng fu
铜	مس	tóng
警察	مس	jǐng chá
摹仿	کپی، کپی کردن	mó fǎng
誊写	استنساخ؛ رونویسی	téng xiě
复写	استنساخ؛ رونویسی	fù xiě
版权	حق چاپ	bǎn quán
著作权	حق چاپ	zhù zuò quán
珊瑚	مرجان؛ بسد	shān hú
绳索	طناب؛ سیم	shéng suǒ
束缚	طناب؛ سیم	shù fù
兴奋剂	قلبی؛ مقوی	xīng fèn jì
补品	قلبی؛ مقوی	bǔ pǐn
核心	سلف	hé xīn
果心	سلف	guǒ xīn
软木塞	سربطری؛ چوب پنبه	ruǎn mù sāi
软木树	سربطری؛ چوب پنبه	ruǎn mù shù
玉蜀黍	ذرت؛ غله	yù shǔ shǔ
谷类	ذرت؛ غله	gǔ lèi
角落	گوشه	jiǎo luò
转角	گوشه	zhuǎn jiǎo
必然的结果	نتیجه فرعی	bì rán de jiē guǒ
系	نتیجه فرعی	xì
冠的	اکیلی	guàn de
冠状的	اکیلی	guān zhuàng de
验尸官	پزشک قانونی	yàn shī guān
检验员	پزشک قانونی	jiǎn yàn yuán
冠	نیم تاج	guàn
下士	جسمی؛ سرجوخه	xià shì
肉体的	جسمی؛ سرجوخه	ròu tǐ de
军	سپاه	jūn
尸体	لاشه؛ مردار	shī tǐ
订正	اصلاح	dìng zhèng
改正	اصلاح	gǎi zhèng
纠正的	اصلاحی	jiū zhèng de
改正的	اصلاحی	gǎi zhèng de
对	به درستی	duì
正确性	درستی	zhèng què xìng
有相互关系的东西	همبستگی داشتن	yǒu xiāng hù guān xì de dōng xī
相关物	همبستگی داشتن	xiāng guān wù
相互关系	همبستگی	xiāng hù guān xì
相关	همبستگی	xiāng guān
通信	مطابقت داشتن	tōng xìn
相符	مکاتبات	xiāng fú
通讯记者	خبرنگار	tōng xùn jì zhě
通信者	خبرنگار	tōng xìn zhě
腐蚀的	خورنده؛ اکال	fǔ shí de
腐蚀性的	خورنده؛ اکال	fǔ shí xìng de
腐败的	فاسد	fǔ bài de
贪污的	فاسد	tān wū de
腐败	فساد	fǔ bài
堕落	فساد	duò luò
紧身褡	شکم بند	jǐn shēn dā
妇女的胸衣	شکم بند	fù nǚ de xiōng yī
哥萨克	قزاق	gē sà kè
武装镇压队队员	قزاق	wǔ zhuāng zhèn yā duì duì yuán
代价	هزینه، هزینه داشتن	dài jià
价值	هزینه، هزینه داشتن	jià zhí
水果叫卖小贩	سبزی فروش	shuǐ guǒ jiào mài xiǎo fàn
昂贵的	پرهزینه	áng guì de
奢华的	پرهزینه	shē huá de
装束	جامه؛ لباس محلی	zhuāng shù
温暖舒适的	گرم ونرم	wēn nuǎn shū shì de
保暖套	گرم ونرم	bǎo nuǎn tào
茅舍	کلبه	máo shè
棉花	پنبه؛ کتانی	mián hua
长沙发	مبل	cháng shā fā
睡椅	مبل	shuì yǐ
咳嗽	سرفه؛ سرفه کردن	ké sou
咳出	سرفه؛ سرفه کردن	hāi chū
可以	می‌توانست (فعل کمکی)	kě yǐ
地方议会成员	عضو شورا	dì fāng yì huì chéng yuán
议会委员	عضو شورا	yì huì wěi yuán
商议	مشورت	shāng yì
评议	مشاوره	píng yì
辅导员	مشاور	fǔ dǎo yuán
参事	وکیل مدافع	cān shì
视为	شمردن	shì wéi
面容	لقا	miàn róng
面部表情	لقا	miàn bù biǎo qíng
计算器	مقابله کردن (با استدلال)؛ پیشخوان	jì suàn qì
计算者	مقابله کردن (با استدلال)؛ پیشخوان	jì suàn zhě
抵消	خنثی کردن؛ خنثی نمودن	dǐ xiāo
反攻	حمله متقابل کردن	fǎn gōng
反击	حمله متقابل کردن	fǎn jī
复本	همتا	fù běn
伯爵夫人	کنتس؛ همسر کنت	bó jué fū ren
女伯爵	کنتس؛ همسر کنت	nǚ bó jué
数不尽的	بی‌شمار	shǔ bu jìn de
无数的	بی‌شمار	wú shù de
国家	کشور	guó jiā
乡村	کشور	xiāng cūn
同胞	هم میهن	tóng bāo
乡下地方	ییلاقات؛ بیرون شهر	xiāng xia dì fāng
乡下居民	ییلاقات؛ بیرون شهر	xiāng xia jū mín
砰然的一击	کودتا	pēng rán de yī jī
妙计	کودتا	miào jì
夫妇	زوج، چند	fū fù
息票	کوپن	xī piào
赠券	کوپن	zèng quàn
勇气	دل؛ جرات	yǒng qì
胆量	دل؛ جرات	dǎn liàng
送快信的人	پیک؛ حملهدار	sòng kuài xìn de rén
伴游服务员	پیک؛ حملهدار	bàn yóu fú wù yuán
课程	دوره، البته	kè chéng
路线	دوره، البته	lù xiàn
法院	دادگاه؛ دربار	fǎ yuàn
球场	دادگاه؛ دربار	qiú chǎng
彬彬有礼	مبادی آداب	bīn bīn yǒu lǐ
谦恭的	مبادی آداب	qiān gōng de
谦恭	ادب	qiān gōng
郡政府所在地	کاخ دادگستری	jùn zhèng fǔ suǒ zài dì
礼让的	درباری	lǐ ràng de
求爱	نظر بازی	qiú ài
求婚	نظر بازی	qiú hūn
庭院	صحن	tíng yuàn
天井	صحن	tiān jǐng
堂兄弟姊妹	پسرعمو/عمه/دایی/خاله، دخترعمو/عمه/دایی/خاله	táng xiōng dì zǐ mèi
表兄弟姊妹	پسرعمو/عمه/دایی/خاله، دخترعمو/عمه/دایی/خاله	biǎo xiōng dì zǐ mèi
契约	میثاق بستن	qì yuē
盟约	میثاق بستن	méng yuē
封面	پوشاندن، پوشش	fēng miàn
覆盖的范围	پوشش	fù gài de fàn wéi
保险总额	پوشش	bǎo xiǎn zǒng é
隐蔽的	پوشپر	yǐn bì de
母牛	گاو	mǔ niú
母兽	گاو	mǔ shòu
懦弱的人	ترسو؛ ضعیفالنفس	nuò ruò de rén
胆小的人	ترسو؛ ضعیفالنفس	dǎn xiǎo de rén
懦弱	بیدلی؛ نامردی	nuò ruò
怯懦的	بی حمیت	qiè nuò de
懦弱的	بی حمیت	nuò ruò de
牛仔	گاوچران	niú zǎi
牛郎	گاوچران	niú láng
螃蟹	خرچنگ	páng xiè
偏航	خرچنگ	piān háng
爆裂声	ترک، شکستن	bào liè shēng
摇篮	گهواره؛ مهد	yáo lán
发祥地	گهواره؛ مهد	fā xiáng dì
技艺	ساختن؛ مهارت، صنایع دستی	jì yì
手艺	ساختن؛ مهارت، صنایع دستی	shǒu yì
工匠	صنعت گر؛ پیشه ور	gōng jiàng
技工	صنعت گر؛ پیشه ور	jì gōng
技术	صنعت گری	jì shù
狡诈的	موذی؛ هفت خط	jiǎo zhà de
诡计多端的	موذی؛ هفت خط	guǐ jì duō duān de
痉挛	چنگوک؛ چنگه	jìng luán
腹部绞痛	چنگوک؛ چنگه	fù bù jiǎo tòng
鹤	کلنگ؛ جرثقیل	hè
起重机	کلنگ؛ جرثقیل	qǐ zhòng jī
头盖的	جمجمه ای	tóu gài de
颅侧的	جمجمه ای	lú cè de
不稳的	محوردار؛ میل لنگ	bù wěn de
脾气暴燥的	محوردار؛ میل لنگ	pí qi bào zào de
