एक	یک (حرف تعریف نامعین)	ek
विचार करना	تامل کردن	vichaar karanaa
विचारमग्न	معقول؛ تفکری	vichaaramagn
ध्यानशील	معقول؛ تفکری	dhyaanashiil
समकालीन	همزمان؛ معاصر	samakaaliin
आधुनिक	همزمان؛ معاصر	aadhunik
तिरस्कार	تحقیر	tiraskaar
घृणित	استهزاء آمیز	ghrinit
तुच्छ	استهزاء آمیز	tuchchh
अवज्ञाकारी	قابل تحقیر	avagyaakaarii
तिरस्कारपूर्ण	قابل تحقیر	tiraskaarapuurn
संघर्ष करना	رقابت کردن	sangharsh karanaa
विवाद करना	رقابت کردن	vivaad karanaa
मुकाबला करने वाला	رقیب	mukaabalaa karane vaalaa
इच्छुक	راضی	ichchhuk
सन्तोष	خرسندی	santosh
संतुष्टि	خرسندی	santushti
प्रसंग	زمینه	prasang
संयमी	قاره	sanyamii
महाद्वीप	قاره	mahaadviip
यूरोपीय	بری؛ اقلیمی	yuuropiiy
महाद्वीपीय	بری؛ اقلیمی	mahaadviipiiy
अविरत	مدام؛ مداوم	avirat
बार बार होने वाला	مدام؛ مداوم	baar baar hone vaalaa
निरंतर	به طور مستمر	nirantar
सिलसिला	ادامه؛ دنباله	silasilaa
जारी रखना	ادامه دادن	jaarii rakhanaa
निरंतरता	پیوستگی؛ تسلسل	nirantarataa
सतत	پیاپی؛ لاینقطع	satat
आकार	حدفاصل؛ محیط مرئی	aakaar
रूपरेखा	حدفاصل؛ محیط مرئی	ruuparekhaa
वर्जित माल	اجناس قاچاق	varjit maal
सगाई	پیمان؛ مقاطعه	sagaaii
ठेका	پیمان؛ مقاطعه	thekaa
सिकुड़न	گرفتگی؛ انقباض	sikuran
ठेकदार	پیمانکار	thekadaar
ठेकेदार	پیمانکار	thekedaar
संविदात्मक	پیمانی؛ عهدی	sanvidaatmak
ठेका संबन्धी	پیمانی؛ عهدی	thekaa sanbandhii
विरोध करना	تناقض داشتن؛ خلاف گفتن	virodh karanaa
खंडन करना	تناقض داشتن؛ خلاف گفتن	khandan karanaa
विरोधाभास	تناقض	virodhaabhaas
प्रतिवाद	تناقض	prativaad
अन्तर्विरोधी	مغایر؛ نقیض	antarvirodhii
परस्पर विरोधी	مغایر؛ نقیض	paraspar virodhii
ज़िद्दी	برعکس	ziddii
वैषम्य	تباین؛ مباینت	vaishamy
सहयोगी	مشارکت‌کننده	sahayogii
योगदानकर्ता	مشارکت‌کننده	yogadaanakartaa
यन्त्र	تمهید	yantr
मशीन	تمهید	mashiin
नियंत्रण	کنترل، کنترل کردن	niyantran
नियंत्रित करना	کنترل، کنترل کردن	niyantrit karanaa
संचालक	ممیز؛ بازبین	sanchaalak
नियंता	ممیز؛ بازبین	niyantaa
विवादास्पद	بحث‌برانگیز	vivaadaaspad
विवादस्पद	بحث‌برانگیز	vivaadaspad
विवाद	مناقشه	vivaad
स्वास्थ्य लाभकारी	بهگرا	svaasthy laabhakaarii
स्वास्थ्यलाभ से संबंधित	بهگرا	svaasthyalaabh se sanbandhit
एकत्र करना	هم آیش کردن؛ دورهم جمع شدن	ekatr karanaa
सुविधा	راحتی	suvidhaa
शौचालय	راحتی	shauchaalay
आसानी से	مصلحه؛ به راحتی	aasaanii se
सुविधाजनक ढंग से	مصلحه؛ به راحتی	suvidhaajanak dhang se
कान्वेंट	دیر؛ صومعه	kaanvent
कन्वेंट स्कूल	دیر؛ صومعه	kanvent skuul
पारम्परिक	متعارف	paaramparik
परम्परागत	متعارف	paramparaagat
अभिमुख होना	متقارب شدن؛ همگرا بودن	abhimukh honaa
अभिसरित होना	متقارب شدن؛ همگرا بودن	abhisarit honaa
गुफ्तगू	مکالمه	guphtaguu
संवादोचित	مکالمهای؛ گفتگوئی	sanvaadochit
संवाद विषयक	مکالمهای؛ گفتگوئی	sanvaad vishayak
वार्तालाप करना	محاوره کردن	vaartaalaap karanaa
उलटा	بالعکس	ulataa
इसके विपरीत	بالعکس	isake vipariit
राजी करना	نقد کردن	raajii karanaa
परिवर्तनीय	قابل تسعیر	parivartaniiy
कन्वर्टिबल कार	قابل تسعیر	kanvartibal kaar
उत्तल	محدب؛ محذب	uttal
उन्नतोदर	محدب؛ محذب	unnatodar
प्रकट करना	منتقل کردن	prakat karanaa
परिवहन	سند انتقال؛ وسیله نقلیه	parivahan
अपराधी	محکوم کردن	aparaadhii
अभिशस्ति	محکومیت	abhishasti
दोषसिद्धि	محکومیت	doshasiddhi
विश्वास दिलाना	متقاعد کردن؛ قانع کردن	vishvaas dilaanaa
निश्चयात्मक	متقاعد کننده	nishchayaatmak
रक्षा दल	کاروان	rakshaa dal
रक्षक दल	کاروان	rakshak dal
ऐंठन	تشنج؛ اختلاج	ainthan
खलबली	تشنج؛ اختلاج	khalabalii
झटकेधर	متشنج؛ تشنجی	jhatakedhar
रसोइया	آشپز؛ آشپزی کردن	rasoiyaa
बाबर्ची	آشپز؛ آشپزی کردن	baabarchii
कुकर	اجاق گاز	kukar
पाकविधि	آشپزی	paakavidhi
पकाने योग्य	آشپزی	pakaane yogy
धैर्य	خنکی؛ خون سردی	dhairy
रूखापन	خنکی؛ خون سردی	ruukhaapan
सहयोग देना	همکاری کردن	sahayog denaa
सहकारिता/सहोद्योग	اشتراک؛ مشارکت	sahayog / sahakaaritaa / sahodyog
सहकारी	تعاونی	sahakaarii
संयोजन करना	هماهنگ کردن	sanyojan karanaa
समन्वित करना	هماهنگ کردن	samanvit karanaa
समन्वयीकरण	هماهنگی	samanvayiikaran
समन्वयन	هماهنگی	samanvayan
समन्वयक	هماهنگ‌کننده	samanvayak
ताल मेल बैठाने वाला	هماهنگ‌کننده	taal mel baithaane vaalaa
पुलिस अधिकारी	پلیس	pulis adhikaarii
पुलिस औफिसर	پلیس	pulis auphisar
पूराअना	کنار آمدن	puuraanaa
सम्हालना	کنار آمدن	samhaalanaa
पुलिस	مس	pulis
लेख	کپی، کپی کردن	lekh
प्रतिलिपि	کپی، کپی کردن	pratilipi
प्रकाशनाधिकृत	حق چاپ	prakaashanaadhikrit
प्रकाशनाधिकार	حق چاپ	prakaashanaadhikaar
मूँगा	مرجان؛ بسد	muungaa / muungaa / vidrumaa
मूंगा/विद्रुमा	مرجان؛ بسد	muungaa / muungaa / vidrumaa
डोरी	طناب؛ سیم	dorii
तन्तु	طناب؛ سیم	tantu
बीजकोष	سلف	biijakosh
अंतर्भाग	سلف	antarbhaag
काग	سربطری؛ چوب پنبه	kaag
कण	ذرت؛ غله	kan
करोनरी	اکیلی	karonarii
कोरोनरी	اکیلی	koronarii
अपमृत्यु विचारक	پزشک قانونی	apamrityu vichaarak
अपमृत्यु का कारण ज्ञात करनेवाला अफ़सर	پزشک قانونی	apamrityu kaa kaaran gyaat karanevaalaa afasar
पुष्प हार	نیم تاج	pushp haar
छोटा मुकुट	نیم تاج	chhotaa mukut
शारीरिक/देह संबंधी	جسمی؛ سرجوخه	shaariirik / deh sanbandhii / senaa kaa chhotaa adhikaarii / ek chhotaa afasar
सेना का छोटा अधिकारी/एक छोटा अफ़सर	جسمی؛ سرجوخه	shaariirik / deh sanbandhii / senaa kaa chhotaa adhikaarii / ek chhotaa afasar
निकाय	شرکت	nikaay
कोर	سپاه	kor
लाश	لاشه؛ مردار	laash
शोधन/सुधार/शुद्धि	اصلاح	shodhan / sudhaar / shuddhi / jaanchanaa
जाँचना	اصلاح	shodhan / sudhaar / shuddhi / jaanchanaa
संशोधनात्मक	اصلاحی	sanshodhanaatmak
संशोधनात्मक टिप्पणी	اصلاحی	sanshodhanaatmak tippanii
सही ढंग से	به درستی	sahii dhang se
सहसंबंधित होना	همبستگی داشتن	sahasanbandhit honaa
परस्पर संबंधित करना	همبستگی داشتن	paraspar sanbandhit karanaa
सहसंबंध	همبستگی	sahasanbandh
पारस्परिक सम्बन्ध	همبستگی	paarasparik sambandh
एकमत होना	مطابقت داشتن	ekamat honaa
लिखा पढी	مکاتبات	likhaa padhii
संवाददाता	خبرنگار	sanvaadadaataa
लिखनेवाला	خبرنگار	likhanevaalaa
समरूपी	متناظر	samaruupii
तत्स्थानी	متناظر	tatsthaanii
प्रकम्पा	راهرو	prakampaa
क्षयकारी	خورنده؛ اکال	kshayakaarii
क्षयकर	خورنده؛ اکال	kshayakar
भ्रष्ट	فاسد	bhrasht / bigarii huii bhaashaa / lekh / detaa aadi
बिगड़ी हुई भाषा/लेख/डेटा आदि	فاسد	bhrasht / bigarii huii bhaashaa / lekh / detaa aadi
भ्रष्टाचार	فساد	bhrashtaachaar
भ्रष्टाचार्	فساد	bhrashtaachaar
अन्दर पहनने का वस्त्र	شکم بند	andar pahanane kaa vastr
कज़ाक	قزاق	kazaak
लागत	هزینه، هزینه داشتن	laagat
मूल्य	هزینه، هزینه داشتن	muuly
असुलभ	پرهزینه	asulabh
आरामदायक	گرم ونرم	aaraamadaayak
आरामदेह	گرم ونرم	aaraamadeh
मड़ई	کلبه	marii
झोपड़ी	کلبه	jhoparii
धागा	پنبه؛ کتانی	dhaagaa
रूई	پنبه؛ کتانی	ruuii
छिपा रहना	مبل	chhipaa rahanaa
चित लेटना	مبل	chit letanaa
आवाज	سرفه؛ سرفه کردن	aavaaj
कफ़	سرفه؛ سرفه کردن	kaf
{प्रश्नवाचक}क्या	می‌توانست (فعل کمکی)	{prashnavaachaka}kyaa
पार्षद्	عضو شورا	paarshad / sabhaasad / {sabhaa kaa} sadasy
सभासद/{सभा का} सदस्य	عضو شورا	paarshad / sabhaasad / {sabhaa kaa} sadasy
पार्षद	عضو انجمن؛ عضو شورا	paarshad
वकीळ	مشاور	vakiiळ
परामर्शदाता	مشاور	paraamarshadaataa
अपराध	شمردن	aparaadh
मुखाकृति	لقا	mukhaakriti
प्रतिक्रिया करना	خنثی کردن؛ خنثی نمودن	pratikriyaa karanaa
प्रत्याक्रमण	حمله متقابل کردن	pratyaakraman
जवाबी हमला	حمله متقابل کردن	javaabii hamalaa
प्रतिरूप	همتا	pratiruup
प्रतिस्थानी	همتا	pratisthaanii
काउंटेस	کنتس؛ همسر کنت	kaauntes / kuliin strii / begam
कुलीन स्त्री/बेगम	کنتس؛ همسر کنت	kaauntes / kuliin strii / begam
बीसों	بی‌شمار	biison
लोग	کشور	log
ग्रामीण	هم میهن	graamiin
देहात	ییلاقات؛ بیرون شهر	dehaat
ग्रामीण क्षेत्र	ییلاقات؛ بیرون شهر	graamiin kshetr
अप्रत्याशित सफलता	کودتا	apratyaashit saphalataa
कूपन	کوپن	kuupan / rasiid / parachaa
रसीद/परचा	کوپن	kuupan / rasiid / parachaa
संदेशवाहक	پیک؛ حملهدار	sandeshavaahak
कृपा	ادب	kripaa
शालीनता	ادب	shaaliinataa
न्यायालय भवन	کاخ دادگستری	nyaayaalay bhavan
प्रशासकीय भवन	کاخ دادگستری	prashaasakiiy bhavan
सुसभ्य	درباری	susabhy
प्रणय निवेदन	نظر بازی	pranay nivedan
विवाहार्थ मिलना जुलना	نظر بازی	vivaahaarth milanaa julanaa
आँगन	صحن	aangan
चचेरा भाई	پسرعمو/عمه/دایی/خاله، دخترعمو/عمه/دایی/خاله	chacheraa bhaaii
चचेरा भाईई	پسرعمو/عمه/دایی/خاله، دخترعمو/عمه/دایی/خاله	chacheraa bhaaii
प्रण	میثاق بستن	pran
