curtain	پرده؛ حجاب	kertan
curvature	خمیدگی	kervacher
curve	خم؛ منحنی	kerv
curved	خمیاده؛ سرکج	kervd
cushion	چنبره؛ مخده	kushen
cusp	نوک هلال؛ غره برج	kasp
custodian	متولی؛ سرایدار	kastodian
custody	حضانت	kastadi
custom	رسم؛ عادت	kastam
customary	مرسوم؛ عادتی	kastameri
customer	مشتری	kastamer
cut	بریدن	kat
cute	بامزه	kyut
cutting	برش	kating
cyanide	سیانور	saianaid / sainaid
cycle	دوچرخه سواری، چرخه	saikel
cylinder	سیلندر؛ استوانه	silander / silinder
cylindrical	لولهای؛ استوانهای	salindrikel / silindrikel
cynical	بدبین	sinikel
cystic	پیشاب دانی	sistik
czar	تزار	zaar
czech	زبان چکوسلواکی	chek
dad	بابا	dad
daddy	پاپا؛ بابا	dadi
dagger	خنجر؛ دشنه	dager
daily	روزانه	deyli
dainty	لذیذ	deynti
dairy	لبنیات	deri
dam	سد	dam
damage	زیان؛ غرامت	damaj / damij
damaging	آسیب‌زننده	damijing
damask	گلدار کردن	damask
damn	اف؛ نفرین کردن	dam
damned	ملعون؛ لعین	damd
damp	نمناک؛ نمدار	damp
dampness	رطوبت؛ نمناکی	dampnis
dance	رقص، رقصیدن	dans
dancer	رقصنده	danser
dancing	رقص	dansing
dandy	خوش تیپ؛ شیک پوش	dandi
danger	خطر	deynjer
dangerous	خطرناک	deynjeras
dangling	آویز شده	danggaling / danggling
danish	دانمارکی	deynish
dare	جرئت کردن	der
daring	جسور؛ شهامت	dering
dark	تاریک؛ تاریکی	daark
darkness	تاریکی	daarknas
darling	عزیز؛ دلبند	daarling
dart	مزراق	daart
dashboard	داشبورد	dashbord
dashing	زنده دل	dashing
data	داده‌ها	deyta / data
database	پایگاه داده	deytabeys / databeys
date	تاریخ، قرار ملاقات	deyt
daughter	دختر	doter
davis	دیویس	deyvas / deyvis
dawn	طلوع	don
day	روز	dey
daybreak	سپیده دم؛ تیغ سحر	deybreyk
daytime	روز؛ نهارخوری	deytaim
dazzled	خیره؛ مسحور	dazald
deacon	شماس	dikan
dead	مرده	ded
deadline	مهلت	dedlain
deadly	کشنده	dedli
deaf	ناشنوا؛ اصم	def
deafness	ناشنوایی	defnas
deal	معامله، سر و کار داشتن	dil
dealer	فروشنده	diler
dean	شیخ السفرا	din
dear	عزیز؛ عزیز (خطاب در نامه)	dir
death	مرگ	deth
deathbed	بستر مرگ	dethbed
deathly	مرگ وار	dethli
debate	بحث؛ جدال	dabeyt
debauchery	فسق؛ الواطی	dabocheri
debris	آوار	dabri
debt	دین؛ بدهکاری	det
debtor	مدیون؛ بدهکار	deter
debut	اولین حضور	deybyu
decade	دهه	dekeyd
decadence	تنزل؛ آغاز ویرانی	dekadans
decay	فساد؛ فاسدکردن	dikey
deceased	مرده؛ مرحوم	disist
deceit	فریب؛ گول	dasit / disit
deceitful	جلب؛ عیار	dasitfel / disitfel
deceive	فریفتن؛ رنگ کردن	disiv
december	دسامبر	disember
decency	نجابت	disansi
decent	نجیب؛ باحیاء	disant
decently	نجیبانه	disantli
deception	فریب؛ نیرنگ	disepshen
deceptive	فریبنده؛ فریبا	diseptiv
decide	تصمیم گرفتن	disaid
decision	تصمیم	disizhen
decision-making	تصمیم‌گیری	disizhenmeyking
decisive	قاطع	disaisiv
deck	عرشه	dek
declaration	اعلامیه	deklereyshen
declare	اظهارکردن؛ اعلان کردن	dikler
decline	کاهش؛ تنزل	diklain
decomposition	تجزیه	dikampozishen / dikampazishen
decorate	آراستن؛ پیراستن	dekereyt
decorating	آرایش دهنده؛ زینت بخش	dekereyting
decoration	آرایش؛ تراز	dekereyshen
decorative	زینتی؛ آذینی	dekrativ
decorous	زینت دار	dekeras
decorum	رفتار بجا	dikoram
decrease	نقص؛ تنزل	dikris
decree	وضع کردن؛ تصویب نامه	dikri
dedicate	وفق کردن؛ اهداء کردن	dedakeyt
dedicated	فداکار	dedakeytad
dedication	فداکاری	dedakeyshen
deduce	استدلال کردن	didus
deductible	مالیات پذیر	didaktabel
deduction	کاهش؛ استنتاج	didakshen
deductive	استدلالی	didaktav
deed	عمل	did
deem	در نظر گرفتن	dim
deep	عمیق	dip
deepen	گود کردن؛ تعمیق کردن	dipan
deeply	عمیقا	dipli
deer	آهو؛ گوزن	dir
defame	بدنام کردن؛ هتاکی کردن	difeym
default	پیش‌فرض	difolt
defeat	شکست؛ هزیمت	difit
defect	نقص	difekt
defection	ارتداد	difekshen
defective	ناقص؛ معیوب	difektiv
defence	مدافعه	difens
defend	دفاع کردن؛ مدافعه کردن	difend
defendant	دادخوانده؛ مدعی علیه	difendant
defender	مدافع	difender
defense	دفاع؛ استحکامات	difens
defensive	تدافعی	difensiv
deferred	دیر فرست	diferd
defiant	مبارز	difaiant
deficiency	کمبود	difishensi
deficient	ناقص؛ ناکارآ	difishent
deficit	کسری	defasat
define	معنی کردن	difain
definite	موکد	defanat
definitely	قطعاً	defanatli
definition	تعریف	defanishen
deflection	عوج	diflekshen
deformed	ناقصالخلقه؛ بدهیکل	diformd
deformity	دشدیسگی؛ دشدیدگی	diformiti
defy	نافرمانی کردن	difai
degenerate	ناخلف	dijenerat / dijenereyt
degeneration	فساد؛ انحطاط	dijenereyshen
degenerative	فاسد کننده	dijenerativ
degradation	تنزل	degradeyshen
degraded	منحط	digreydad / digreydid
degree	درجه	digri
dehydrate	وابشت کردن؛ بیآب کردن	dihaidreyt
dejected	افسرده؛ پژمرده	dijektid
delay	تاخیر؛ درنگ	diley
delegate	نماینده	delageyt / delagat
delegated	موکل	delageytad
delegation	هیئت	delageyshen
delete	حذف کردن	dilit
delhi	دهلی	deli
deliberate	عمدی؛ تعمدی	diliberat / dilibereyt
deliberately	تعمدا	diliberatli / dilibratli
deliberation	شور؛ تامل	dilibereyshen
delicacy	لطایف؛ ظریفی	delakasi / delikasi
delicate	ظریف	delakat
delicately	ظریفانه	delakatli
delicious	خوشمزه	dilishas
delight	میل؛ حظ	dilait
delightful	دلپذیر؛ طیب	dilaitfel
delirious	هذیانی؛ سرسامی	dilirias
delirium	هذیان؛ سرسام	diliriam
deliver	رساندن؛ ایراد کردن	diliver
deliverance	رهیی	diliverans / dilivrans
deliverer	رساننده؛ رهان	diliverer
delivery	زه؛ تحویل	diliveri
deluded	غره	diludid
deluge	طوفان ایجاد کردن	delyuj
delusion	فریفتگی؛ کوراب	diluzhen
demand	طلب؛ تقاضا	dimand
demean	رفتار کردن	dimin
democracy	دموکراسی	dimaakrasi
democrat	دمکرات؛ دمکراتی	demakrat
democratic	دموکراتیک	demakratik
demolished	ویران	dimaalisht
demon	دیو	diman
demonstrable	اثباتی	demanstrabel
demonstrate	راهپیمایی کردن؛ تظاهرات کردن	demanstreyt
demonstration	تظاهرات، نمایش	demanstreyshen
demonstrator	حالیکننده؛ نشان دهنده	demanstreyter
den	لانه؛ آشیانه	den
denial	انکار	dinaiel
denomination	تسمیه؛ طبقه بندی	dinomaneyshen
denote	علامت بودن؛ علامت گذاردن	dinot
denouement	نتیجه عمل؛ پایان نمایش	deynumaan
denounce	محکوم کردن	dinauns
dense	متراکم	dens
density	تراکم	densiti
dental	دندانی	dentel / denel
dentist	دندانپزشک	dentast / dentist
dentition	دندان بندی؛ ساختمان دندانها	dentishen
denuded	محروم	dinudid
deny	نفی کردن؛ تکذیب کردن	dinai
deodorant	بوزدا	dioderant
depart	حرکت کردن	dipaart
department	دپارتمان	dipaartmant
departure	عزیمت؛ هجرت	dipaarcher
depend	بستگی داشتن	dipend
dependence	وابستگی	dipendans
dependencies	توابع	dipendansiz
dependent	وابسته	dipendant
depict	به تصویر کشیدن	dipikt
deplorable	زار	diplorabel
deploy	مستقر کردن	diploy
deployment	استقرار	diploymant
depose	خلع کردن؛ عزل کردن	dipoz
deposit	رسوب، واریز کردن؛ ودیعه	dapaazit / dipaazat
deposition	خلع؛ عزل	depazishen
depot	بازخانه؛ انبارگاه	dipo
deprecate	قبیح دانستن	deprakeyt
depreciation	ناچیز شماری	diprishieyshen
depress	افسردن؛ دلسرد شدن	dipres
depressed	افسرده؛ غر	diprest
depression	افسردگی، رکود	dipreshen
deprivation	محرومیت؛ انعزال	depraveyshen
deprive	محروم کردن	dipraiv
depth	عمق؛ ژرف	depth
deputy	معاون	depyati / depyuti
deride	بکسی خندیدن	diraid
derision	سخریه؛ سخره	derizhen
derivative	فرعی؛ مشتق	derivativ / derivitiv
derive	مشتق شدن	deraiv
dermal	پوستی؛ جلدی	dermel
descend	پایین آمدن	disend
descendants	اعقاب	disendants / disenints
descent	نزول	disent
describe	توصیف کردن	diskraib
description	توصیف	diskripshen
descriptive	وصفی؛ تعریفی	diskriptiv
desecration	هتک حرمت	desakreyshen / dezakreyshen
desert	بیابان	dezert / dizert
deserve	سزیدن؛ لایق کردن	dizerv
deserving	مستحق؛ سزاوار	dizerving
design	طراحی، طراحی کردن	dizain
designate	تعیین کردن	dezagneyt / dezigneyt
designer	طراح	dizainer
desirability	مطلوبیت؛ دلخواهی	dizairabiliti
desirable	مطلوب	dizairabel / dizaierabel
desire	میل؛ هوس	dizaier
desirous	آرزومندانه؛ راقب بودن	dizairas
desk	میز تحریر	desk
desktop	رومیزی (کامپیوتر)	desktaap
desolate	بی جمعیت	desalat / dezalat
desolation	خراب	desaleyshen
despair	ناامید؛ یاس	disper
despairing	نومید کننده	dispering
desperate	نومید؛ ناامید	desprit / desperit
desperately	از روی نومیدی	desperatli / despratli
desperation	نومیدی؛ لاعلاجی	despereyshen / despereyshin
despicable	شنیع؛ نکوهش پذیر	dispikabel
despise	تحقیر کردن؛ حقیر شمردن	dispaiz
despite	علارغم؛ باوجوداین	dispait
despondency	یاس؛ تنگ دلی	dispaandansi
despot	جابر؛ سلطان مستبد	despat
dessert	دسر؛ دندان مز	dizert
destination	مقصد	destaneyshen / destineyshen
destined	مقدر	destind
destitute	لات	destatut
destitution	لاتی؛ بی چیزی	destatushen
destroy	نابود کردن	distroy
destruction	تخریب	distrakshen
destructive	مخرب	distraktiv
detach	منفصل کردن	ditach
detachment	عده	ditachmant
detail	جزئیات	diteyl
detain	بازداشت کردن	diteyn
detection	کشف	ditekshen
detective	کارآگاه	ditektiv
detector	ردیاب؛ آشکارگر	ditekter
detention	بازداشت	ditenshen
deter	تحذیر کردن	diter
deteriorate	بدتر شدن	ditiriereyt
determination	عزم راسخ	ditermaneyshen
determine	معین کردن؛ مشخص کردن	daterman / diterman
dethrone	از مقام انداختن	dithron
detonate	ترکانیدن	detaneyt
detour	انحراف؛ خط فرعی	ditur
detriment	ضرر	detramant
detrimental	درد ناک	detramentel / detramenel
deuce	دولو؛ دوخال	dus
devastate	ویران کردن	devasteyt
develop	توسعه دادن	divelap
development	توسعه؛ رشد	divelapmant
developmental	عمرانی	divelapmentel / divelapmenel
deviate	عدول کردن؛ منحرف شدن	divieyt
deviation	عدول؛ ضلال	divieyshen
device	دستگاه	divais
devil	شیطان	devel
devilish	شیطانی؛ اهریمنی	devlish
devise	ابداع کردن	divaiz / divais
devoid	عاری	divoyd
devolve	تفویض کردن؛ محول کردن	divaalv
devote	وقف کردن	divot
devotee	مجاهد؛ فداکار	devati
devotion	وقف؛ چاکری	divoshen
devotional	فداکارانه؛ عبادتی	divoshenel
devout	پارسا؛ عابد	divaut
dew	شبنم؛ ژاله	du
dewy	شبنمدار؛ ترکرده	dui
dexterity	مهارت؛ تردستی	deksteriti
dey	دی	dey
diabetes	مرضقند	daiabitiz
diabetic	دولابی؛ دیابتی	daiabetik
diabolical	شیطانی	daiabaalikel
diadem	دیهیم؛ نیم تاج	daiadem
diagnose	تشخیص دادن	daiagnos
diagnosis	تشخیص	daiagnosas
diagnostic	تشخیصی	daiagnaastik
diagonal	مورب	daiaganel
dial	شماره گرفتن	daiel / dail
dialect	گویش؛ گویشی	daialekt
dialogue	گفتگو	daialog
diameter	ضخامت	daiamater
diaphragm	دیافراگم؛ پرده دل	daiafram
diary	دفتر خاطرات	daieri / dairi
dice	مهره؛ طاس	dais
dichotomy	دوگانگی؛ دورستگی	daikaatami
dictate	دیکته کردن	dikteyt
dictation	تلقین؛ املاء	dikteyshen
dictator	دیکتاتور	dikteyter
dictatorship	استبداد؛ دیکتاتوری	dikteytership
dictionary	فرهنگ لغت	diksheneri
die	مردن	dai
diet	رژیم غذایی	daiat
differ	تفاوت داشتن	difer
difference	تفاوت	diferans / difrans
different	متفاوت	diferant / difrant
differential	تفاضلی؛ افتراقی	diferenshel
differentiate	تمایز قائل شدن	diferenshieyt / diferenchieyt
differentiation	فرق گذاری؛ مشتغ گیری	diferenshieyshen / diferenchieyshen
differently	به طور متفاوت	difrantli / diferentli
difficult	دشوار	difakalt
difficulty	دشواری؛ مشکل	difakalti / difikalti
diffused	پاشیده	difyuzd
diffusion	پخش؛ پاشیدگی	difyuzhen
dig	کاوش کردن؛ حفر کردن	dig
digest	گواریدن؛ تحلیل کردن	daijest
digestion	تحلیل؛ هضم	daijeschan
digestive	هاضمه؛ گوارشی	daijestiv
digit	شماره	dijat / dijit
digital	دیجیتال	dijatel / dijitel
dignified	موقر؛ معزز	dignafaid
dignitary	عالی مقام	dignateri
dignity	کرامت	digniti
dilatory	اتساعی؛ تاخیری	dilatori
dilemma	معضل	dilema
diligence	پشت کار؛ جد و جهد	dilajans / dilijans
diligent	کوشا؛ جاهد	dilijant
dilute	رقیق کردن؛ آبکی کردن	dailut / dilut
dim	تیره؛ تاریک	dim
dimension	بعد	dimenshen
diminish	کاهش دادن	diminish
diminution	نقص	dimanushen
diminutive	مصغر	diminyativ
dimple	زنخ؛ چاه زنخدان	dimpel
din	طنین بلند؛ طنین افکندن	din
dine	شام خوردن	dain
dining	غذا خوری	daining
dinner	شام	diner
dioxide	دی اکسید	daiaaksaid
dip	غوطه‌ور شدن	dip
diphtheria	دیفتری	difthiriaa
diploma	مدرک؛ گواهینامه	diplomaa
diplomacy	سیاستمداری؛ دیپلماسی	diplomasi
diplomat	دیپلمات	diplamat
diplomatic	دیپلماتیک	diplamatik
dire	شوم	dair / daier
direct	مستقیم	derekt / dairekt
direction	جهت	derekshen / direkshin
directive	بخشنامه	derektiv / direktiv
directly	مستقیماً	derektli / direkli
directness	بی واسطگی	derektnas / direknas
director	کارگردان	derekter / dairekter
directory	فهرست	derekteri / dairekteri
dirt	خاک؛ چرک	dert
dirty	کثیف	derti
disability	ناتوانی	disabiliti / disabilitiz
disabled	ناتوان	diseybald
disadvantage	وضع نامساعد	disadvantij / disadvanij
disadvantageous	بی صرفه	disadvanteyjas
disagree	مخالفت کردن	disagri
disagreeable	جوکی؛ ناپسندیده	disagriabel
disagreement	اختلاف نظر	disagrimant
disappear	ناپدید شدن	disapir
disappearance	زائل؛ ناپدیدی	disapirans
disappoint	ناامید کردن	disapoynt
disappointment	ناامیدی	disapoyntmant
disapproval	تقبیح	disapruvel
disapprove	نپسندیدن؛ تقبیح کردن	disapruv
disaster	فاجعه	dizaster
disastrous	فاجعه‌بار	dizastras
disbelieve	دروغ پنداشتن؛ اعتقاد نکردن	disbaliv
discard	دور انداختن	diskaard
discern	تمیز دادن	disern
discharge	تخلیه کردن	dischaarj
disciple	سالک؛ حواری	disaipel
disciplinarian	نظم دهنده	disiplinerian
disciplinary	انتظامی؛ انضباطی	disaplaneri
discipline	انضباط؛ انتظام	disaplan
disclaim	حاشا کردن؛ قبول نکردن	diskleym
disclose	فاش کردن	diskloz
disclosure	افشاگری	disklozher
discoloration	بی رنگی	diskalereyshen
discomfort	رنج؛ ناراحتی	diskamfert
